Metabolite	Concentration	Type	Unit	Comment
M_phe	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ile	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cti	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nh3	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lys	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dguo	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cell	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lic	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cu2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sucr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sor	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_rib	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hemeb	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fum	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_inos	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mtl	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_co2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_uri	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fru	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ura	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_p	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_bio	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_k	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_urt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cit	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_naglcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ribf	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glu	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dado	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thi	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sul	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pyr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xth	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hex	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cys	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_trp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ara	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ade	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tre	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gua	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mg2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hxth	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_akg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_guo	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_act	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_zn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
