Enzyme	Concentration
TptsG_enzyme	7.828272424871829e-06
TfruA_enzyme	0.0
TfruLev_enzyme	0.0
TmalP_enzyme	0.0
TsacP_enzyme	0.0
TmanP_enzyme	0.0
TmtlA_enzyme	0.0
TtreP_enzyme	0.0
Tlic_enzyme	0.0
Tgmu_enzyme	0.0
TgamP_enzyme	0.0
TnagP_enzyme	0.0
TmurP_enzyme	0.0
TgutP_enzyme	0.0
TglpF_enzyme	0.0
TiolF_enzyme	0.0
Trbs_enzyme	0.0
TgntP_enzyme	0.0
TaraE_enzyme	0.0
TaraPQ_enzyme	0.0
Tpyr_enzyme	0.0
TdctP1_enzyme	0.0
TdctP2_enzyme	0.0
TcitM_enzyme	0.0
TcimH1_enzyme	0.0
Takg_enzyme	0.0
TmaeN_enzyme	0.0
TcimH2_enzyme	0.0
Tack_enzyme	5.5444623976547386e-05
Tact_enzyme	0.0
TlctP_enzyme	0.0
Tform_enzyme	1.270640616911297e-07
Tala_enzyme	0.0
Targ_enzyme	0.0
Targ2_enzyme	0.0
Tasn_enzyme	0.0
Tasp_enzyme	0.0
Tcys_enzyme	0.0
Tcys2_enzyme	0.0
TglnT_enzyme	0.0
Tgln2_enzyme	0.0
TgltT_enzyme	0.0
Tgly_enzyme	0.0
This_enzyme	0.0
Tile_enzyme	0.0
Tleu_enzyme	0.0
Tlys_enzyme	0.0
Tmet_enzyme	0.0
Tmet2_enzyme	0.0
Tphe_enzyme	0.0
Tpro_enzyme	0.0
Tser_enzyme	0.0
Tthr_enzyme	0.0
Ttrp_enzyme	0.0
Ttyr_enzyme	0.0
Tval_enzyme	0.0
Tade_enzyme	0.0
TpbuG_enzyme	0.0
TpbuO_enzyme	0.0
TpbuX_enzyme	0.0
TpyrP_enzyme	0.0
Tado_enzyme	0.0
Tguo_enzyme	0.0
Tino_enzyme	0.0
Tcto_enzyme	0.0
Tdado_enzyme	0.0
Turi_enzyme	0.0
Tcti_enzyme	0.0
Tthy_enzyme	0.0
Tdguo_enzyme	0.0
Turt_enzyme	0.0
Taloi_enzyme	0.0
Tthi_enzyme	0.0
Theme_enzyme	0.0
TribU_enzyme	0.0
Tfol_enzyme	0.0
Tpan_enzyme	0.0
Tnia_enzyme	0.0
TbioY_enzyme	0.0
Tnh3_enzyme	0
Tnh3b_enzyme	0.0
Tno3_enzyme	0.0
Tno2_enzyme	0.0
Tno2b_enzyme	0.0
To2_enzyme	0
Tqox_enzyme	1.0795812263202353e-05
Tcyd_enzyme	0.0
Tcta_enzyme	0.0
Tsul_enzyme	4.4190521766175e-08
Tp_enzyme	1.0524221488999631e-06
Tp2_enzyme	0.0
Tco2_enzyme	0
TmgtE_enzyme	2.2923601091656682e-07
TfeuABC_enzyme	7.139031475273823e-11
TefeNU_enzyme	0.0
Tyfm_enzyme	0.0
Tmnt_enzyme	3.837307151680379e-10
TmntH_enzyme	0.0
Tcu2_enzyme	0.0
Tadc_enzyme	7.337276904810652e-08
TchaA_enzyme	1.894330968629886e-11
TcitH_enzyme	0.0
TykuT_enzyme	1.5212732282500425e-06
Tmrp_enzyme	0.0
Th_enzyme	1.4008039881992445e-05
Th2o_enzyme	0
EnasBC_enzyme	0.0
EnasDE_enzyme	0.0
EptsH_enzyme	8.0386284562809e-06
EptsI_enzyme	6.401930010802694e-05
EfruB_enzyme	0.0
EmalA_enzyme	0.0
EsacA_enzyme	0.0
EmanA_enzyme	0.0
EmtlD_enzyme	0.0
EtreA_enzyme	0.0
ElicH1_enzyme	0.0
ElicH2_enzyme	0.0
EglcK_enzyme	0.0
EgutB_enzyme	0.0
EgmuE_enzyme	0.0
ErbsK_enzyme	0.0
EglpK_enzyme	1.3813052289512856e-10
EglpD_enzyme	0.0
EiolG_enzyme	0.0
EiolE_enzyme	0.0
EiolD_enzyme	0.0
EiolC_enzyme	0.0
EiolJ_enzyme	0.0
EiolA_enzyme	0.0
EgntK_enzyme	0.0
EaraA_enzyme	0.0
EaraB_enzyme	0.0
EaraD_enzyme	0.0
Epgi_enzyme	3.6567295009731464e-05
Epfk_enzyme	6.774780389739236e-06
Efbp_enzyme	0.0
EglpX_enzyme	0.0
Efba_enzyme	0.00012268368523514058
Etpi_enzyme	3.365092781825127e-05
EgapA_enzyme	0.0001534300817319244
EgapB_enzyme	0.0
Epgk_enzyme	9.591747831803294e-05
Epgm_enzyme	2.7682860370264772e-05
Eeno_enzyme	9.925654649092069e-05
Epyk_enzyme	5.138398266675622e-05
Epdh_enzyme	9.859657044209839e-05
Epta_enzyme	4.55494439531698e-05
EackA_enzyme	2.600425329063681e-05
EacsA_enzyme	0.0
EdhaS_enzyme	0.0
Eldh_enzyme	0.0
EalsS_enzyme	0.0
EalsD_enzyme	0.0
Eaco_enzyme	0.0
Ezwf_enzyme	1.958282575988207e-05
Egnd_enzyme	7.857978862532994e-05
EywlF_enzyme	2.292523878253727e-06
Erpe_enzyme	7.868154215143335e-07
Etkt1_enzyme	6.068357192472709e-05
EywjH_enzyme	7.408428717532893e-05
Etkt2_enzyme	7.311733697281105e-05
Epyc_enzyme	2.7314126349066914e-05
EcitZ_enzyme	1.929924639470753e-05
EcitB_enzyme	8.886208443208397e-06
EcitC_enzyme	6.529753104745815e-05
Eodh_enzyme	0.0
Esuc_enzyme	0.0
Esdh_enzyme	0.0
EcitG_enzyme	3.0273950213064994e-06
Emdh_enzyme	4.306848259478606e-05
Epck_enzyme	0.0
EmalS_enzyme	0.0
EmaeA_enzyme	0.0
EmleA_enzyme	3.737618413892589e-09
EytsJ_enzyme	0.0
Eprs_enzyme	8.56022554769572e-06
EpurF_enzyme	8.139194054435272e-06
EpurD_enzyme	1.963362818923741e-05
EpurN_enzyme	1.0886252923846695e-06
EpurLQ_enzyme	1.9373551244564727e-05
EpurM_enzyme	4.3851241503422965e-06
EpurEK_enzyme	8.023232184868495e-06
EpurC_enzyme	9.060655582090069e-06
EpurB_enzyme	2.666039091154177e-05
EpurH_enzyme	3.77328410106049e-05
EpurA_enzyme	8.955990674854657e-06
EpurB2_enzyme	1.6342376023413087e-05
Eadk_enzyme	1.3916512272040104e-05
EguaA_enzyme	1.995492538513677e-05
EguaB_enzyme	2.4520940832626015e-05
EguaC_enzyme	0.0
Egdp_enzyme	1.8716172271651224e-06
Egtp_enzyme	1.361121201216986e-05
EpyrAB_enzyme	0.0
EpyrB_enzyme	5.8070960196797e-07
EpyrC_enzyme	8.8884826527557e-06
EpyrKD_enzyme	1.7395863065513665e-06
EpyrE_enzyme	2.4920839729183117e-06
EpyrF_enzyme	9.187626663991829e-06
EpyrH_enzyme	1.4519519416332425e-06
Ecmk2_enzyme	4.866175390810447e-06
Eutp_enzyme	1.5065689113687829e-05
EpyrG_enzyme	2.4232382543781096e-06
Ecdp_enzyme	1.3977272034795632e-05
Enrd1_enzyme	1.095132569421376e-06
Enrd2_enzyme	7.022928294302615e-07
Enrd3_enzyme	4.766482009820141e-07
Enrd4_enzyme	0.0
Egmk2_enzyme	0.0
Eadk2_enzyme	0.0
Ecmk3_enzyme	0.0
Ecmk4_enzyme	4.6277409973964876e-07
EthyB_enzyme	7.321621445856198e-08
EcomEB_enzyme	1.4859508096921243e-07
Etmk_enzyme	5.363003710769162e-08
Endk1_enzyme	1.454453211693078e-05
Endk2_enzyme	1.3861761082323127e-05
Endk3_enzyme	1.3925610741845572e-05
Endk4_enzyme	1.4544531592765978e-05
EycgT_enzyme	4.622672187241678e-05
Endh_enzyme	1.0295296332267312e-05
EyutJ_enzyme	0.0
Eqcr_enzyme	0.0
Enar_enzyme	0.0
Eatp_enzyme	6.085613865796728e-06
EppaC_enzyme	2.810006076333154e-05
EytiB_enzyme	8.629932505761253e-06
EkatA_enzyme	3.6676142108518704e-05
EsodA_enzyme	0.00013910563873355283
EalaT_enzyme	1.036571027571586e-06
EalaS_enzyme	6.6928744747979815e-06
Ealr_enzyme	6.747737293597643e-06
Eddl_enzyme	1.0206985307691447e-05
EargJ_enzyme	0.0
EargB_enzyme	1.5790606662975617e-06
EargC_enzyme	4.649057878144872e-06
EargD_enzyme	1.2083681804903847e-05
EargJ2_enzyme	7.387844561978899e-06
EcarAB_enzyme	1.4700436187670194e-06
EargF_enzyme	1.20132090487937e-05
EargG_enzyme	2.8932347724929176e-05
EargH_enzyme	1.3654476628763831e-05
EargS_enzyme	1.641576938919727e-05
EasnB_enzyme	3.2520693301309226e-06
EasnS_enzyme	9.531197784912931e-06
EaspB_enzyme	7.610854695650744e-05
EaspS_enzyme	1.0112776059810467e-05
Esat_enzyme	1.2019307482211824e-05
EcysC_enzyme	4.182156103284746e-06
EcysH_enzyme	2.0145088461586637e-06
Ecxx_enzyme	4.770759307624818e-06
EcysJI_enzyme	8.771445694697233e-06
Exxx_enzyme	8.21747611973444e-10
EcysE_enzyme	6.654066172555048e-08
EcysK_enzyme	1.1373972080940234e-05
EyrrT_enzyme	0.0
EmtnN_enzyme	9.449023185964705e-09
EluxS_enzyme	9.449023185964705e-09
EmccA_enzyme	0.0
EmccB_enzyme	9.848727817715495e-07
EcysS_enzyme	4.633872315031898e-07
Egln_enzyme	4.542803363401377e-05
EglnS_enzyme	1.1671791684020873e-05
Eglt_enzyme	1.1365434793510527e-05
EgltX_enzyme	1.53795815038999e-05
EracE_enzyme	8.207587904065569e-07
EglyA_enzyme	5.462864537985648e-05
EglyQS_enzyme	5.692685356941105e-06
EhisG_enzyme	6.712004362258731e-07
EhisI_enzyme	1.2088575882640812e-06
EhisA_enzyme	9.64425417465823e-07
EhisHF_enzyme	8.004565327461218e-07
EhisB_enzyme	1.3723451387403862e-06
EhisC_enzyme	3.7028431373962357e-06
