Reaction	Flux
TptsG	9.66955778844827
TfruA	0.0
TfruLev	0.0
TmalP	0.0
TsacP	0.0
TmanP	0.0
TmtlA	0.0
TtreP	0.0
Tlic	0.0
Tgmu	0.0
TgamP	0.0
TnagP	0.0
TmurP	0.0
TgutP	0.0
TglpF	0.0
TiolF	0.0
Trbs	0.0
TgntP	0.0
TaraE	0.0
TaraPQ	0.0
Tpyr	0.0
TdctP1	0.0
TdctP2	0.0
TcitM	0.0
TcimH1	0.0
Takg	0.0
TmaeN	0.0
TcimH2	0.0
Tack	-9.43466338668356
Tact	0.0
TlctP	0.0
Tform	-0.015997274490696305
Tala	0.0
Targ	0.0
Targ2	0.0
Tasn	0.0
Tasp	0.0
Tcys	0.0
Tcys2	0.0
TglnT	0.0
Tgln2	0.0
TgltT	0.0
Tgly	0.0
This	0.0
Tile	0.0
Tleu	0.0
Tlys	0.0
Tmet	0.0
Tmet2	0.0
Tphe	0.0
Tpro	0.0
Tser	0.0
Tthr	0.0
Ttrp	0.0
Ttyr	0.0
Tval	0.0
Tade	0.0
TpbuG	0.0
TpbuO	0.0
TpbuX	0.0
TpyrP	0.0
Tado	0.0
Tguo	0.0
Tino	0.0
Tcto	0.0
Tdado	0.0
Turi	0.0
Tcti	0.0
Tthy	0.0
Tdguo	0.0
Turt	0.0
Taloi	0.0
Tthi	0.0
Theme	0.0
TribU	0.0
Tfol	0.0
Tpan	0.0
Tnia	0.0
TbioY	0.0
Tnh3	6.093123969076
Tnh3b	0.0
Tno3	0.0
Tno2	0.0
Tno2b	0.0
To2	14.273915939678146
Tqox	30.430820751439047
Tcyd	0.0
Tcta	0.0
Tsul	0.10755867927950424
Tp	0.3894902813985045
Tp2	0.0
Tco2	-14.557752913976572
TmgtE	0.0007782944842891197
TfeuABC	2.8296712964365034e-05
TefeNU	0.0
Tyfm	0.0
Tmnt	0.00015209791328597562
TmntH	0.0
Tcu2	0.0
Tadc	0.00034767406030541406
TchaA	1.9458971132102097e-08
TcitH	0.0
TykuT	0.4199331624353776
Tmrp	0.0
Th	35.4790685337052
Th2o	-31.11925867768456
EnasBC	0.0
EnasDE	0.0
EptsH	9.66955778844827
EptsI	9.66955778844827
EfruB	0.0
EmalA	0.0
EsacA	0.0
EmanA	0.0
EmtlD	0.0
EtreA	0.0
ElicH1	0.0
ElicH2	0.0
EglcK	0.0
EgutB	0.0
EgmuE	0.0
ErbsK	0.0
EglpK	2.7595874023437497e-06
EglpD	0.0
EiolG	0.0
EiolE	0.0
EiolD	0.0
EiolC	0.0
EiolJ	0.0
EiolA	0.0
EgntK	0.0
EaraA	0.0
EaraB	0.0
EaraD	0.0
Epgi	5.513288378228311
Epfk	7.609142107625452
Efbp	0.0
EglpX	0.0
Efba	7.609142107625452
Etpi	7.241727292645815
EgapA	15.86363927818768
EgapB	0.0
Epgk	15.86363927818768
Epgm	15.079864595427892
Eeno	15.079864595427892
Epyk	4.838946977914454
Epdh	10.584182997884279
Epta	8.719097550320127
EackA	8.719097550320127
EacsA	0.0
EdhaS	0.0
Eldh	0.0
EalsS	0.0
EalsD	0.0
Eaco	0.0
Ezwf	3.8773359816030153
Egnd	3.8773359816030153
EywlF	1.6470105066615073
Erpe	2.229873846584641
Etkt1	1.2426443305097845
EywjH	1.2426443305097845
Etkt2	0.9872295160748567
