Enzyme	Concentration
R_EX_pqq_e_enzyme	0
R_pqqtex_enzyme	0.0
R_pqqtex_duplicate_2_enzyme	0.0
R_pqqtex_duplicate_3_enzyme	0.0
R_pqqtex_duplicate_4_enzyme	0.0
R_DM_4crsol_c_enzyme	0
R_DM_5drib_c_enzyme	0
R_DM_aacald_c_enzyme	0
R_DM_amob_c_enzyme	0
R_DM_mththf_c_enzyme	0
R_DM_oxam_c_enzyme	0
R_BIOMASS_Ec_iJO1366_WT_53p95M_enzyme	0
R_BIOMASS_Ec_iJO1366_core_53p95M_enzyme	0
R_EX_12ppd__R_e_enzyme	0
R_EX_12ppd__S_e_enzyme	0
R_EX_14glucan_e_enzyme	0
R_EX_15dap_e_enzyme	0
R_EX_23camp_e_enzyme	0
R_EX_23ccmp_e_enzyme	0
R_EX_23cgmp_e_enzyme	0
R_EX_23cump_e_enzyme	0
R_EX_23dappa_e_enzyme	0
R_EX_26dap__M_e_enzyme	0
R_EX_2ddglcn_e_enzyme	0
R_EX_34dhpac_e_enzyme	0
R_EX_3amp_e_enzyme	0
R_EX_3cmp_e_enzyme	0
R_EX_3gmp_e_enzyme	0
R_EX_3hcinnm_e_enzyme	0
R_EX_3hpp_e_enzyme	0
R_EX_3hpppn_e_enzyme	0
R_EX_3ump_e_enzyme	0
R_EX_4abut_e_enzyme	0
R_EX_4hoxpacd_e_enzyme	0
R_EX_5dglcn_e_enzyme	0
R_EX_5mtr_e_enzyme	0
R_EX_LalaDglu_e_enzyme	0
R_EX_LalaDgluMdap_e_enzyme	0
R_EX_LalaDgluMdapDala_e_enzyme	0
R_EX_LalaLglu_e_enzyme	0
R_EX_ac_e_enzyme	0
R_EX_acac_e_enzyme	0
R_EX_acald_e_enzyme	0
R_EX_acgal_e_enzyme	0
R_EX_acgal1p_e_enzyme	0
R_EX_acgam_e_enzyme	0
R_EX_acgam1p_e_enzyme	0
R_EX_acmana_e_enzyme	0
R_EX_acmum_e_enzyme	0
R_EX_acnam_e_enzyme	0
R_EX_acolipa_e_enzyme	0
R_EX_acser_e_enzyme	0
R_EX_ade_e_enzyme	0
R_EX_adn_e_enzyme	0
R_EX_adocbl_e_enzyme	0
R_EX_ag_e_enzyme	0
R_EX_agm_e_enzyme	0
R_EX_akg_e_enzyme	0
R_EX_ala_B_e_enzyme	0
R_EX_ala__D_e_enzyme	0
R_EX_ala__L_e_enzyme	0
R_EX_alaala_e_enzyme	0
R_EX_all__D_e_enzyme	0
R_EX_alltn_e_enzyme	0
R_EX_amp_e_enzyme	0
R_EX_anhgm_e_enzyme	0
R_EX_arab__L_e_enzyme	0
R_EX_arbt_e_enzyme	0
R_EX_arbtn_e_enzyme	0
R_EX_arbtn_fe3_e_enzyme	0
R_EX_arg__L_e_enzyme	0
R_EX_ascb__L_e_enzyme	0
R_EX_asn__L_e_enzyme	0
R_EX_aso3_e_enzyme	0
R_EX_asp__L_e_enzyme	0
R_EX_btn_e_enzyme	0
R_EX_but_e_enzyme	0
R_EX_butso3_e_enzyme	0
R_EX_ca2_e_enzyme	0
R_EX_cbi_e_enzyme	0
