Metabolite	Concentration	Type	Unit	Comment
M_pqq	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tartr__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cl	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ni2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ca2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cobalt2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tungs	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nh4	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cu2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cbl1	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_slnt	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_o2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mobd	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_k	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_co2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pi	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_zn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mg2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_so4	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sel	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2o	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lipoate	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_na1	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arg__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asn__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cys__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gln__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gly	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_his__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ile__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_leu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lys__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_phe__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pro__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_trp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tyr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_val__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glc__D	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_malt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_man	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xyl__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pheme	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_indole	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acgam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acgal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cu	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_quin	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_sulfac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fruur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arbtn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xtsn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lac__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ppt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tma	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hcinnm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_meoh	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lac__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cgly	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_f6p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3dhbzs	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dad_2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ins	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acnam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3ump	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dcyt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_LalaDglu	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
