Enzyme	Concentration
R_pqqtex_enzyme	0.0
R_pqqtex_duplicate_2_enzyme	0.0
R_pqqtex_duplicate_3_enzyme	0.0
R_pqqtex_duplicate_4_enzyme	0.0
R_DM_4crsol_c_enzyme	0
R_DM_5drib_c_enzyme	0
R_DM_aacald_c_enzyme	0
R_DM_amob_c_enzyme	0
R_DM_mththf_c_enzyme	0
R_DM_oxam_c_enzyme	0
R_BIOMASS_Ec_iJO1366_WT_53p95M_enzyme	0
R_BIOMASS_Ec_iJO1366_core_53p95M_enzyme	0
R_12DGR120tipp_enzyme	0
R_12DGR140tipp_enzyme	0
R_12DGR141tipp_enzyme	0
R_12DGR160tipp_enzyme	0
R_12DGR161tipp_enzyme	0
R_12DGR180tipp_enzyme	0
R_12DGR181tipp_enzyme	0
R_12PPDRtex_enzyme	0.0
R_12PPDRtex_duplicate_2_enzyme	0.0
R_12PPDRtex_duplicate_3_enzyme	0.0
R_12PPDRtex_duplicate_4_enzyme	0.0
R_12PPDRtpp_enzyme	0
R_12PPDStex_enzyme	0.0
R_12PPDStex_duplicate_2_enzyme	0.0
R_12PPDStex_duplicate_3_enzyme	0.0
R_12PPDStex_duplicate_4_enzyme	0.0
R_12PPDStpp_enzyme	0
R_14GLUCANabcpp_enzyme	0.0
R_14GLUCANtexi_enzyme	0.0
R_23CAMPtex_enzyme	0.0
R_23CAMPtex_duplicate_2_enzyme	0.0
R_23CAMPtex_duplicate_3_enzyme	0.0
R_23CAMPtex_duplicate_4_enzyme	0.0
R_23CCMPtex_enzyme	0.0
R_23CCMPtex_duplicate_2_enzyme	0.0
R_23CCMPtex_duplicate_3_enzyme	0.0
R_23CCMPtex_duplicate_4_enzyme	0.0
R_23CGMPtex_enzyme	0.0
R_23CGMPtex_duplicate_2_enzyme	0.0
R_23CGMPtex_duplicate_3_enzyme	0.0
R_23CGMPtex_duplicate_4_enzyme	0.0
R_23CUMPtex_enzyme	0.0
R_23CUMPtex_duplicate_2_enzyme	0.0
R_23CUMPtex_duplicate_3_enzyme	0.0
R_23CUMPtex_duplicate_4_enzyme	0.0
R_23DAPPAt2pp_enzyme	0
R_23DAPPAtex_enzyme	0.0
R_23DAPPAtex_duplicate_2_enzyme	0.0
R_23DAPPAtex_duplicate_3_enzyme	0.0
R_23DAPPAtex_duplicate_4_enzyme	0.0
R_23PDE2pp_enzyme	0.0
R_23PDE4pp_enzyme	0.0
R_23PDE7pp_enzyme	0.0
R_23PDE9pp_enzyme	0.0
R_26DAHtex_enzyme	0.0
R_26DAHtex_duplicate_2_enzyme	0.0
R_26DAHtex_duplicate_3_enzyme	0.0
R_26DAHtex_duplicate_4_enzyme	0.0
R_2AGPA120tipp_enzyme	0.0
R_2AGPA140tipp_enzyme	0.0
R_2AGPA141tipp_enzyme	0.0
R_2AGPA160tipp_enzyme	0.0
R_2AGPA161tipp_enzyme	0.0
R_2AGPA180tipp_enzyme	0.0
R_2AGPA181tipp_enzyme	0.0
R_2AGPE120tipp_enzyme	0.0
R_2AGPE140tipp_enzyme	0.0
R_2AGPE141tipp_enzyme	0.0
R_2AGPE160tipp_enzyme	0.0
R_2AGPE161tipp_enzyme	0.0
R_2AGPE180tipp_enzyme	0.0
R_2AGPE181tipp_enzyme	0.0
R_2AGPEAT120_enzyme	0.0
R_2AGPEAT140_enzyme	0.0
R_2AGPEAT141_enzyme	0.0
R_2AGPEAT160_enzyme	0.0
R_2AGPEAT161_enzyme	0.0
R_2AGPEAT180_enzyme	0.0
R_2AGPEAT181_enzyme	0.0
R_2AGPG120tipp_enzyme	0.0
R_2AGPG140tipp_enzyme	0.0
R_2AGPG141tipp_enzyme	0.0
R_2AGPG160tipp_enzyme	0.0
R_2AGPG161tipp_enzyme	0.0
R_2AGPG180tipp_enzyme	0.0
R_2AGPG181tipp_enzyme	0.0
R_2AGPGAT120_enzyme	0.0
R_2AGPGAT140_enzyme	0.0
R_2AGPGAT141_enzyme	0.0
R_2AGPGAT160_enzyme	0.0
R_2AGPGAT161_enzyme	0.0
R_2AGPGAT180_enzyme	0.0
R_2AGPGAT181_enzyme	0.0
R_2DGULRGx_enzyme	0.0
R_2DGULRGy_enzyme	0.0
R_2DGULRx_enzyme	0.0
R_2DGULRy_enzyme	0.0
R_2MAHMP_enzyme	0.0
R_2MAHMP_duplicate_2_enzyme	0.0
R_34dhpactex_enzyme	0.0
R_34dhpactex_duplicate_2_enzyme	0.0
R_34dhpactex_duplicate_3_enzyme	0.0
R_34dhpactex_duplicate_4_enzyme	0.0
R_3AMACHYD_enzyme	0.0
R_3AMPtex_enzyme	0.0
R_3AMPtex_duplicate_2_enzyme	0.0
R_3AMPtex_duplicate_3_enzyme	0.0
R_3AMPtex_duplicate_4_enzyme	0.0
R_3CMPtex_enzyme	0.0
R_3CMPtex_duplicate_2_enzyme	0.0
R_3CMPtex_duplicate_3_enzyme	0.0
R_3CMPtex_duplicate_4_enzyme	0.0
R_3GMPtex_enzyme	0.0
R_3GMPtex_duplicate_2_enzyme	0.0
R_3GMPtex_duplicate_3_enzyme	0.0
R_3GMPtex_duplicate_4_enzyme	0.0
R_3HAD100_enzyme	0.0
R_3HAD100_duplicate_2_enzyme	0.0
R_3HAD120_enzyme	0.0
R_3HAD120_duplicate_2_enzyme	0.0
R_3HAD121_enzyme	0.0
R_3HAD121_duplicate_2_enzyme	0.0
R_3HAD140_enzyme	0.0
R_3HAD140_duplicate_2_enzyme	0.0
R_3HAD141_enzyme	0.0
R_3HAD141_duplicate_2_enzyme	0.0
R_3HAD160_enzyme	0.0
R_3HAD160_duplicate_2_enzyme	0.0
R_3HAD161_enzyme	0.0
R_3HAD161_duplicate_2_enzyme	0.0
R_3HAD180_enzyme	0.0
R_3HAD180_duplicate_2_enzyme	0.0
R_3HAD181_enzyme	0.0
R_3HAD181_duplicate_2_enzyme	0.0
R_3HAD40_enzyme	0.0
R_3HAD40_duplicate_2_enzyme	0.0
R_3HAD60_enzyme	0.0
R_3HAD60_duplicate_2_enzyme	0.0
R_3HAD80_enzyme	0.0
R_3HAD80_duplicate_2_enzyme	0.0
R_3HCINNMH_enzyme	0.0
R_3HPPPNH_enzyme	0.0
R_3HPPtex_enzyme	0.0
R_3HPPtex_duplicate_2_enzyme	0.0
R_3HPPtex_duplicate_3_enzyme	0.0
