GENE ID	GENOME LOCATION
ATMG01360	Mitochondrion_matrix
ATMG01275	Mitochondrion_matrix
ATMG01190	Mitochondrion_matrix
ATMG01170	Mitochondrion_matrix
ATMG01080	Mitochondrion_matrix
ATMG00990	Mitochondrion_matrix
ATMG00730	Mitochondrion_matrix
ATMG00650	Mitochondrion_matrix
ATMG00640	Mitochondrion_matrix
ATMG00580	Mitochondrion_matrix
ATMG00513	Mitochondrion_matrix
ATMG00510	Mitochondrion_matrix
ATMG00480	Mitochondrion_matrix
ATMG00410	Mitochondrion_matrix
ATMG00285	Mitochondrion_matrix
ATMG00270	Mitochondrion_matrix
ATMG00220	Mitochondrion_matrix
ATMG00160	Mitochondrion_matrix
ATMG00070	Mitochondrion_matrix
ATCG01060	Plastid
ATCG00730	Plastid
ATCG00720	Plastid
ATCG00710	Plastid
ATCG00700	Plastid
ATCG00690	Plastid
ATCG00680	Plastid
ATCG00630	Plastid
ATCG00600	Plastid
ATCG00590	Plastid
ATCG00580	Plastid
ATCG00570	Plastid
ATCG00560	Plastid
ATCG00550	Plastid
ATCG00540	Plastid
ATCG00510	Plastid
ATCG00500	Plastid
ATCG00490	Plastid
ATCG00480	Plastid
ATCG00470	Plastid
ATCG00350	Plastid
ATCG00340	Plastid
ATCG00300	Plastid
ATCG00280	Plastid
ATCG00270	Plastid
ATCG00220	Plastid
ATCG00210	Plastid
ATCG00150	Plastid
ATCG00140	Plastid
ATCG00130	Plastid
ATCG00120	Plastid
ATCG00080	Plastid
ATCG00070	Plastid
ATCG00020	Plastid
AT5G66760	Nucleus
AT5G66570	Nucleus
AT5G66190	Nucleus
AT5G66120	Nucleus
AT5G65780	Nucleus
AT5G65750	Nucleus
AT5G65690	Nucleus
AT5G65165	Nucleus
AT5G65140	Nucleus
AT5G65010	Nucleus
AT5G64970	Nucleus
AT5G64860	Nucleus
AT5G64740	Nucleus
AT5G64560	Nucleus
AT5G64380	Nucleus
AT5G64300	Nucleus
AT5G64050	Nucleus
AT5G64040	Nucleus
AT5G63890	Nucleus
AT5G63850	Nucleus
AT5G63680	Nucleus
AT5G63570	Nucleus
AT5G63400	Nucleus
AT5G63310	Nucleus
AT5G62790	Nucleus
AT5G62575	Nucleus
AT5G62530	Nucleus
AT5G62160	Nucleus
AT5G61810	Nucleus
AT5G61580	Nucleus
AT5G61410	Nucleus
AT5G61310	Nucleus
AT5G60600	Nucleus
AT5G60540	Nucleus
AT5G59750	Nucleus
AT5G59520	Nucleus
AT5G59440	Nucleus
AT5G59040	Nucleus
AT5G59030	Nucleus
AT5G58330	Nucleus
AT5G57890	Nucleus
AT5G57815	Nucleus
AT5G56760	Nucleus
AT5G56720	Nucleus
AT5G56680	Nucleus
AT5G56630	Nucleus
AT5G56350	Nucleus
AT5G55810	Nucleus
AT5G55070	Nucleus
AT5G54810	Nucleus
AT5G54800	Nucleus
AT5G54190	Nucleus
AT5G53460	Nucleus
AT5G52920	Nucleus
AT5G52520	Nucleus
AT5G52100	Nucleus
AT5G51830	Nucleus
AT5G51820	Nucleus
AT5G51690	Nucleus
AT5G51460	Nucleus
AT5G51050	Nucleus
AT5G50950	Nucleus
AT5G50850	Nucleus
AT5G50370	Nucleus
AT5G50210	Nucleus
AT5G49890	Nucleus
AT5G49630	Nucleus
AT5G49460	Nucleus
AT5G49190	Nucleus
AT5G49030	Nucleus
AT5G48300	Nucleus
AT5G48230	Nucleus
AT5G48220	Nucleus
AT5G47840	Nucleus
AT5G47810	Nucleus
AT5G47760	Nucleus
AT5G47720	Nucleus
AT5G47030	Nucleus
AT5G46180	Nucleus
AT5G46110	Nucleus
AT5G45930	Nucleus
AT5G44520	Nucleus
AT5G44030	Nucleus
AT5G43780	Nucleus
AT5G43330	Nucleus
AT5G42980	Nucleus
AT5G42740	Nucleus
AT5G41670	Nucleus
AT5G40890	Nucleus
AT5G40850	Nucleus
AT5G40810	Nucleus
AT5G40780	Nucleus
AT5G40760	Nucleus
AT5G40650	Nucleus
AT5G39950	Nucleus
AT5G38830	Nucleus
AT5G38710	Nucleus
AT5G38430	Nucleus
AT5G38420	Nucleus
AT5G38410	Nucleus
AT5G37600	Nucleus
AT5G37510	Nucleus
AT5G36880	Nucleus
AT5G36790	Nucleus
AT5G36700	Nucleus
AT5G35790	Nucleus
AT5G35630	Nucleus
AT5G35360	Nucleus
AT5G35170	Nucleus
AT5G34930	Nucleus
AT5G28237	Nucleus
AT5G28030	Nucleus
AT5G28020	Nucleus
AT5G27520	Nucleus
AT5G27470	Nucleus
AT5G27450	Nucleus
AT5G26830	Nucleus
AT5G26780	Nucleus
AT5G26710	Nucleus
AT5G26667	Nucleus
AT5G26240	Nucleus
AT5G26030	Nucleus
AT5G25880	Nucleus
AT5G25450	Nucleus
AT5G24420	Nucleus
AT5G24410	Nucleus
