Metabolite	Concentration	Type	Unit	Comment
M_sucr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2o	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_o2	207.2539	Chemical species	mmol/L	Boundary metabolite from SBML
M_co2	0.1974	Chemical species	mmol/L	Boundary metabolite from SBML
M_nh4	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no3	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pi	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mg2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cobalt2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cd2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_zn2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ni2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ca2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cu	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_k	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cl	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hnu	100.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_so4	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2s	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_malt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glc__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fru	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tre	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gln__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asn__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ser__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cys__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gly	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_met__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pro__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arg__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lys__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_his__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ile__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_leu__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_phe__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_trp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tyr__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_val__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xyl__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arab__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mnl	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_raffin	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_stys	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_melib	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fuc__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
Temperature	20.0	Chemical species	mmol/L	Boundary metabolite from SBML
