Enzyme	Concentration
R_PSII_h_enzyme	1.3863023213519978e-05
R_Cytb6f_h_enzyme	3.7999121651192856e-05
R_PSI_h_enzyme	7.599824330238571e-05
R_Fd_DASH_NADPR_h_enzyme	3.1904298911428885e-05
R_ATPase_h_enzyme	1.6285337850511223e-05
R_RBC_h_enzyme	7.489983470807053e-05
R_PGAK_h_enzyme	3.095659304451752e-05
R_GAPDH1_h_enzyme	3.0264045569624043e-05
R_TPI_h_enzyme	9.509491291654843e-06
R_FBPA_h_enzyme	0.0
R_FBPase_h_enzyme	0.0
R_FTK_h_enzyme	4.5512536894744375e-06
R_SBPA_h_enzyme	9.509491291654843e-06
R_SBPase_h_enzyme	9.509491291654843e-06
R_STK_h_enzyme	4.481068118406482e-06
R_Ru5PE_h_enzyme	9.02393575521433e-06
R_R5PI_h_enzyme	4.444610857557903e-06
R_Ru5PK_h_enzyme	1.346847812111513e-05
R_PGI_h_enzyme	4.771694837739228e-07
R_PGM_h_enzyme	2.1318482964127152e-07
R_AGPase_h_enzyme	2.1318482964127152e-07
R_StS_h1_enzyme	1.0613895322279956e-07
R_StS_h2_enzyme	1.0338141084348083e-07
R_StS_h3_enzyme	3.664465574991136e-09
R_bAMY1_h_enzyme	3.664465574991136e-09
R_bAMY2_h_enzyme	0.0
R_DPE11_h_enzyme	3.664465574991136e-09
R_DPE12_h_enzyme	2.757542379318722e-09
R_DPE13_h_enzyme	0.0
R_DPE2_c_enzyme	0.0
R_HEXK_c_enzyme	0.0
R_StP1_h_enzyme	0.0
R_StP21_c_enzyme	0.0
R_TPI_c_enzyme	1.4840926928494981e-08
R_FBPA_c_enzyme	1.4840926928494981e-08
R_FBPase_c_enzyme	1.4840926928494981e-08
R_F6PK2_c_enzyme	0.0
R_F26BPPh_c_enzyme	0.0
R_PGI_c_enzyme	0.0
R_G6PDH_c_enzyme	0.0
R_6PGL_c_enzyme	0.0
R_6PGDHNADP_c_enzyme	2.084724196222117e-07
R_6PGDHNAD_c_enzyme	2.084724196222117e-07
R_Ru5PE_c_enzyme	8.386052666590936e-09
R_R5PI_c_enzyme	8.386052666590936e-09
R_PGM_c_enzyme	2.637840007032667e-07
R_UGPase_c_enzyme	2.637840007032667e-07
