Process	Machinery Concentration
P_Replication_wtoMM_h	0.0
P_Chaperone_mitochondrion	5.3145727595039574e-08
P_RNAdeg_c	0.0
P_Transcription_wtoMM_m	0.0
P_Translation_c	1.249247515864141e-06
P_Proteasome_c	0.0
P_Transcription_RNApol1_n	2.8695277239123363e-10
P_TOM	1.290003902669167e-07
P_Chaperone6010_plastid	3.698877031382686e-07
P_Chaperone70_cytoplasm	4.7370282345047795e-08
P_ClpCP_protease_h	0.0
P_TIM22cx	1.0468558769066348e-07
P_Transcription_wtoMM_h	0.0
P_Replication_wtoMM_m	0.0
P_SAMTIMcx	6.257096888828013e-09
P_npc_rna	0.0
P_Chaperone7090_plastid	3.6107609662562084e-07
P_TIM17_23_MOTOR	1.695687692988804e-08
P_npc_protein	7.348026284120423e-09
P_TIC_TOC2	3.8966236629683493e-07
P_Replication_n	0.0
P_TIC_TOC1	1.5996199524415759e-07
P_ClpXP_protease_m	0.0
P_Transcription_RNApol2_n	0.0
P_oxa1	3.6143217366486395e-08
P_RubiscoFolding	2.404297408148615e-08
P_TIM17_23_SORT	1.0468558769066346e-07
P_Transcription_RNApol3_n	2.4808694809660105e-11
P_Translation_h	4.931836041843581e-07
P_ChaperoneCCT_cytoplasm	3.8700196974807337e-08
P_Translation_m	4.8251800886868725e-08
