ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
Q9LUT2	CHEBI:29035	Mn(2+)	2	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
Q9LUT2	CHEBI:18420	Mg(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
Q9LUT2	CHEBI:48828	Co(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
Q9LUT2	CHEBI:29103	K(+)	1	Binds 1 potassium ion per subunit. The potassium ion interacts primarily with the substrate (By similarity). {ECO:0000250|UniProtKB:P13444};
Q9XGZ0	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9XGZ0	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9SLK0	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SLK0	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q8L7K9	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q8L7K9	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9LYG3	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9LYG3	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
F4JIZ3	CHEBI:29035	Mn(2+)	1	Binds 1 divalent cation per subunit. The enzyme is active with manganese, cobalt or cadmium ions. {ECO:0000256|PIRSR:PIRSR602480-1};
F4JIZ3	CHEBI:48828	Co(2+)	0	Binds 1 divalent cation per subunit. The enzyme is active with manganese, cobalt or cadmium ions. {ECO:0000256|PIRSR:PIRSR602480-1};
F4JIZ3	CHEBI:48775	Cd(2+)	0	Binds 1 divalent cation per subunit. The enzyme is active with manganese, cobalt or cadmium ions. {ECO:0000256|PIRSR:PIRSR602480-1};
Q9SIU0	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9SIU0	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q9MAH0	CHEBI:18420	Mg(2+)	1	Magnesium. Can also use manganese. {ECO:0000269|PubMed:19228119};
Q9MAH0	CHEBI:29035	Mn(2+)	0	Magnesium. Can also use manganese. {ECO:0000269|PubMed:19228119};
Q9SA14	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250|UniProtKB:P50455};
Q9SA14	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250|UniProtKB:P50455};
P23686	CHEBI:29035	Mn(2+)	2	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
P23686	CHEBI:18420	Mg(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
P23686	CHEBI:48828	Co(2+)	0	Binds 2 divalent ions per subunit. The metal ions interact primarily with the substrate (By similarity). Can utilize magnesium, manganese or cobalt (in vitro) (By similarity). {ECO:0000250|UniProtKB:P13444, ECO:0000250|UniProtKB:Q96551}; 
P23686	CHEBI:29103	K(+)	1	Binds 1 potassium ion per subunit. The potassium ion interacts primarily with the substrate (By similarity). {ECO:0000250|UniProtKB:P13444};
F4IW47	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
F4IW47	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
F4IW47	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
F4IW47	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
