GENE	DISABLED	STOICHIOMETRY	REACTION	SUBUNIT	ISOENZYMES	RBA LOCATION	STOICHIOMETRY REVIEW CODE	LOCATION REVIEW CODE	ID IN ANNOTATION	LOCATION OF SBML REACTION	LOCATION FROM ANNOTATION	RAW LOCATION FROM ANNOTATION	RAW SUBUNIT STRUCTURE FROM ANNOTATION
ATCG00020	0	2	R_PSII_h	SU_1	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P83755	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01379}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01379}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes (By similarity). Interacts with PAM68 (PubMed:20923938). The nascent chain still attached to the ribosome interacts with FFC/ cpSRP54, but not with CAO/cpSRP43 or SecA (PubMed:9927433). {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000269|PubMed:20923938, ECO:0000269|PubMed:9927433}.
ATCG00680	0	2	R_PSII_h	SU_2	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56777	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01495}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01495}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes (PubMed:20923938). Interacts with PAM68 (PubMed:20923938). Interacts with HHL1 (PubMed:24632535). {ECO:0000255|HAMAP-Rule:MF_01495, ECO:0000269|PubMed:20923938, ECO:0000269|PubMed:24632535}.
ATCG00280	0	2	R_PSII_h	SU_3	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56778	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01496, ECO:0000269|PubMed:11113141}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01496, ECO:0000305}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, PsbC/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes (By similarity). Interacts with PAM68 (PubMed:20923938). Interacts with HHL1 (PubMed:24632535). {ECO:0000255|HAMAP-Rule:MF_01496, ECO:0000269|PubMed:20923938, ECO:0000269|PubMed:24632535}.
ATCG00270	0	2	R_PSII_h	SU_4	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56761	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01383}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01383}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. Interacts with PAM68. {ECO:0000255|HAMAP-Rule:MF_01383, ECO:0000269|PubMed:20923938}.
ATCG00580	0	2	R_PSII_h	SU_5	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	1	0	A0A1B1W4W2	Thylakoid_membrane	Thylakoid_membrane , Cell_membrane , Plastid	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}. Plastid, chloroplast thylakoid membrane {ECO:0000256|HAMAP-Rule:MF_00642, ECO:0000256|RuleBase:RU004529}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00642, ECO:0000256|RuleBase:RU004529}.	SUBUNIT: Heterodimer of an alpha subunit and a beta subunit. PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. {ECO:0000256|HAMAP-Rule:MF_00642}.
ATCG00570	0	2	R_PSII_h	SU_6	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	1	0	P62095	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00643}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00643}.	SUBUNIT: Heterodimer of an alpha subunit and a beta subunit. PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. {ECO:0000255|HAMAP-Rule:MF_00643}.
ATCG00710	0	2	R_PSII_h	SU_7	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56780	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00752, ECO:0000269|PubMed:11113141, ECO:0000269|PubMed:20923938}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00752}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes (PubMed:11113141). Interacts with PAM68 (PubMed:20923938). {ECO:0000255|HAMAP-Rule:MF_00752, ECO:0000269|PubMed:11113141, ECO:0000269|PubMed:20923938}.
ATCG00080	0	2	R_PSII_h	SU_8	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P62100	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01316}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01316}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. Interacts with PAM68 (PubMed:20923938). {ECO:0000255|HAMAP-Rule:MF_01316, ECO:0000269|PubMed:20923938}.
ATCG00550	0	2	R_PSII_h	SU_9	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56781	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01305}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01305}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. {ECO:0000255|HAMAP-Rule:MF_01305}.
ATCG00070	0	2	R_PSII_h	SU_10	R_PSII_h_duplicate_10_enzyme , R_PSII_h_duplicate_11_enzyme , R_PSII_h_duplicate_12_enzyme , R_PSII_h_duplicate_13_enzyme , R_PSII_h_duplicate_14_enzyme , R_PSII_h_duplicate_15_enzyme , R_PSII_h_duplicate_16_enzyme , R_PSII_h_duplicate_2_enzyme , R_PSII_h_duplicate_3_enzyme , R_PSII_h_duplicate_4_enzyme , R_PSII_h_duplicate_5_enzyme , R_PSII_h_duplicate_6_enzyme , R_PSII_h_duplicate_7_enzyme , R_PSII_h_duplicate_8_enzyme , R_PSII_h_duplicate_9_enzyme , R_PSII_h_enzyme	Thylakoid_membrane	2	0	P56782	Thylakoid_membrane	Thylakoid_membrane , Plastid	SUBCELLULAR LOCATION: Plastid, chloroplast thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00441}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00441}.	SUBUNIT: PSII is composed of 1 copy each of membrane proteins PsbA, PsbB, PsbC, PsbD, PsbE, PsbF, PsbH, PsbI, PsbJ, PsbK, PsbL, PsbM, PsbT, PsbX, PsbY, PsbZ, Psb30/Ycf12, at least 3 peripheral proteins of the oxygen-evolving complex and a large number of cofactors. It forms dimeric complexes. {ECO:0000255|HAMAP-Rule:MF_00441}.
