MACROMOLECULE TYPE	ID	ORIGIN	LOCATION	PROCESS	CAPACITY PARAMETER	PROCESSING LOCATION	PROCESSING TYPE	TEMPLATE PROCESSING MAP	INPUT FRACTION
protein		Nucleus		Translation_c	ribosome_efficiency_CM	Cytoplasm	production	default_translation	1
protein		Mitochondrion_matrix		Translation_m	ribosome_efficiency_CM	Mitochondrion_matrix	production	default_translation	1
protein		Plastid		Translation_h	ribosome_efficiency_CM	Plastid	production	default_translation	1
rna	rrna_18S_loc_Cytoplasm			Transcription_RNApol1_n	RNApol1_efficiency_CM	Nucleus	production	default_transcription	1
rna	RRNA23S_loc_Cytoplasm			Transcription_RNApol1_n	RNApol1_efficiency_CM	Nucleus	production	default_transcription	1
rna	RRNA4_DASH_5S_loc_Cytoplasm			Transcription_RNApol1_n	RNApol1_efficiency_CM	Nucleus	production	default_transcription	1
rna	mrna_loc_Nucleus			Transcription_RNApol2_n	RNApol2_efficiency_CM	Nucleus	production	default_transcription	1
rna		Nucleus	Nucleus	Transcription_RNApol3_n	RNApol3_efficiency_CM	Nucleus	production	default_transcription	1
rna	RRNA5S_loc_Cytoplasm			Transcription_RNApol3_n	RNApol3_efficiency_CM	Nucleus	production	default_transcription	1
rna		Mitochondrion_matrix	Mitochondrion_matrix	Transcription_wtoMM_m		Mitochondrion_matrix	production	default_transcription	1
rna		Plastid	Plastid	Transcription_wtoMM_h		Plastid	production	default_transcription	1
dna		Nucleus		Replication_n	DNApol_efficiency_CM	Nucleus	production	default_dna_replication	1
dna		Mitochondrion_matrix		Replication_wtoMM_m		Mitochondrion_matrix	production	default_dna_replication	1
dna		Plastid		Replication_wtoMM_h		Plastid	production	default_dna_replication	1
rna		Nucleus		RNAdeg_c		Cytoplasm	degradation	default_rna_degradation	1
rna		Mitochondrion_matrix		RNAdeg_c		Cytoplasm	degradation	default_rna_degradation	1
rna		Plastid		RNAdeg_c		Cytoplasm	degradation	default_rna_degradation	1
protein			Cytoplasm	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Nucleus	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Nucleus_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Vacuole	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Vacuole_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Peroxisome_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Peroxisome	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Golgi_apparatus_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Golgi_apparatus	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Endoplasmic_reticulum_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Endoplasmic_reticulum	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Cell_membrane	Proteasome_c	chaperone_efficiency_CM	Cytoplasm	degradation	default_protein_degradation	1
protein			Mitochondrion_matrix	ClpXP_protease_m	chaperone_efficiency_CM	Mitochondrion_matrix	degradation	default_protein_degradation	1
protein			Mitochondrion_outer_membrane	ClpXP_protease_m	chaperone_efficiency_CM	Mitochondrion_matrix	degradation	default_protein_degradation	1
protein			Mitochondrion_inner_membrane	ClpXP_protease_m	chaperone_efficiency_CM	Mitochondrion_matrix	degradation	default_protein_degradation	1
protein			Mitochondrion_intermembrane_space	ClpXP_protease_m	chaperone_efficiency_CM	Mitochondrion_matrix	degradation	default_protein_degradation	1
protein			Plastid	ClpCP_protease_h	chaperone_efficiency_CM	Plastid	degradation	default_protein_degradation	1
protein			Plastid_membrane	ClpCP_protease_h	chaperone_efficiency_CM	Plastid	degradation	default_protein_degradation	1
protein			Thylakoid_lumen	ClpCP_protease_h	chaperone_efficiency_CM	Plastid	degradation	default_protein_degradation	1
protein			Thylakoid_membrane	ClpCP_protease_h	chaperone_efficiency_CM	Plastid	degradation	default_protein_degradation	1
protein		Nucleus	Cytoplasm	Chaperone70_cytoplasm	chaperone_efficiency_CM	Cytoplasm	production	default_processing	0.3
protein	average_protein_loc_Cytoplasm			ChaperoneCCT_cytoplasm	chaperone_efficiency_CM	Cytoplasm	production	default_processing	0.3
protein		Nucleus	Mitochondrion_matrix	Chaperone_mitochondrion	chaperone_efficiency_CM	Mitochondrion_matrix	production	default_processing	1
protein		Mitochondrion_matrix		Chaperone_mitochondrion	chaperone_efficiency_CM	Mitochondrion_matrix	production	default_processing	1
protein		Nucleus	Plastid	Chaperone7090_plastid	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein		Plastid		Chaperone6010_plastid	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein	ATCG00490_loc_Plastid			RubiscoFolding	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein	AT5G38430_loc_Plastid			RubiscoFolding	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein	AT5G38420_loc_Plastid			RubiscoFolding	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein	AT1G67090_loc_Plastid			RubiscoFolding	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein	AT5G38410_loc_Plastid			RubiscoFolding	chaperone_efficiency_CM	Plastid	production	default_processing	1
protein		Nucleus	Thylakoid_lumen	TIC_TOC1	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Thylakoid_membrane	TIC_TOC1	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Plastid	TIC_TOC2	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Plastid_membrane	TIC_TOC2	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_matrix	TOM	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_outer_membrane	TOM	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_inner_membrane	TOM	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_intermembrane_space	TOM	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_inner_membrane	TIM22cx	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_inner_membrane	TIM17_23_SORT	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_matrix	TIM17_23_MOTOR	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Mitochondrion_outer_membrane	SAMTIMcx	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Mitochondrion_matrix	Mitochondrion_inner_membrane	oxa1	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Nucleus	npc_protein	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
protein		Nucleus	Nucleus_membrane	npc_protein	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
rna		Nucleus	Nucleus	npc_rna	translocation_efficiency_CM	Cytoplasm	production	default_processing	1
