Enzyme	Concentration
R_PSII_h_enzyme	1.3862878903187915e-05
R_Cytb6f_h_enzyme	3.799872609058684e-05
R_PSI_h_enzyme	7.599745218117367e-05
R_Fd_DASH_NADPR_h_enzyme	3.190577180315343e-05
R_ATPase_h_enzyme	1.6285168324537215e-05
R_RBC_h_enzyme	7.489977634983925e-05
R_PGAK_h_enzyme	3.0958068405958365e-05
R_GAPDH1_h_enzyme	3.0265521162180244e-05
R_TPI_h_enzyme	9.509484194581881e-06
R_FBPA_h_enzyme	0.0
R_FBPase_h_enzyme	0.0
R_FTK_h_enzyme	4.551250087379877e-06
R_SBPA_h_enzyme	9.509484194581881e-06
R_SBPase_h_enzyme	9.509484194581881e-06
R_STK_h_enzyme	4.4810646234280806e-06
R_Ru5PE_h_enzyme	9.023928657856915e-06
R_R5PI_h_enzyme	4.444607460129422e-06
R_Ru5PK_h_enzyme	1.3468467627145896e-05
R_PGI_h_enzyme	4.771694837739228e-07
R_PGM_h_enzyme	2.1318482964127152e-07
R_AGPase_h_enzyme	2.1318482964127152e-07
R_StS_h1_enzyme	1.0613895322279955e-07
R_StS_h2_enzyme	1.0613895322279955e-07
R_StS_h3_enzyme	9.069231956724131e-10
R_bAMY1_h_enzyme	3.664465574991136e-09
R_bAMY2_h_enzyme	0.0
R_DPE11_h_enzyme	3.664465574991136e-09
R_DPE12_h_enzyme	0.0
R_DPE13_h_enzyme	2.757542379318722e-09
R_DPE2_c_enzyme	0.0
R_HEXK_c_enzyme	0.0
R_StP1_h_enzyme	0.0
R_StP21_c_enzyme	0.0
R_TPI_c_enzyme	1.4840926928494974e-08
R_FBPA_c_enzyme	1.4840926928494974e-08
R_FBPase_c_enzyme	1.4840926928494974e-08
R_F6PK2_c_enzyme	0.0
R_F26BPPh_c_enzyme	0.0
R_PGI_c_enzyme	0.0
R_G6PDH_c_enzyme	0.0
R_6PGL_c_enzyme	0.0
R_6PGDHNADP_c_enzyme	2.103368639006071e-07
R_6PGDHNAD_c_enzyme	2.103368639006071e-07
R_Ru5PE_c_enzyme	8.386052951042617e-09
R_R5PI_c_enzyme	8.386052951042617e-09
R_PGM_c_enzyme	2.6378400070326663e-07
R_UGPase_c_enzyme	2.6378400070326663e-07
R_S6PS_c_enzyme	1.4840926928494974e-08
R_S6PPh_c_enzyme	1.4840926928494974e-08
R_SucS_c_enzyme	4.182561932417451e-09
R_FrcFD_c_enzyme	0.0
R_FrcK_c_enzyme	0.0
R_TPS_c_enzyme	2.0065342938458479e-10
R_TPP_c_enzyme	2.0065342938458479e-10
R_CeS_c1_enzyme	1.264624911389023e-07
R_CeS_c2_enzyme	1.264624911389023e-07
R_CeS_c3_enzyme	0.0
R_MalDH1_c_enzyme	4.090742874724424e-06
R_PEPC1_c_enzyme	0.0
R_PEPC2_c_enzyme	7.934774709720794e-07
R_Enol_c_enzyme	1.4289249467613243e-06
R_PGAM_c_enzyme	1.4289249467613243e-06
R_PGAK_c_enzyme	7.248576836821484e-06
R_GAPDH2_c_enzyme	7.248576836821484e-06
R_GAPDH3_c_enzyme	0.0
R_F6PK1_c_enzyme	0.0
R_F6PK1_h_enzyme	0.0
R_GAPDH2_h_enzyme	6.925472437781194e-07
R_PGAM_h_enzyme	0.0
R_Enol_h_enzyme	0.0
R_PyrK_c_enzyme	1.321337534953546e-06
R_PyrK_h_enzyme	0.0
R_PyrDH1_m_enzyme	0.0
R_PyrDH2_m_enzyme	0.0
R_DHLAcT_m_enzyme	0.0
R_DHLDH2_m_enzyme	0.0
R_CitS_m_enzyme	0.0
R_cACNDHA_m_enzyme	0.0
R_cACNHA_m_enzyme	0.0
R_iCitDHNAD_m_enzyme	1.1064454014374049e-07
R_KGDH_m_enzyme	0.0
R_DHLST_m_enzyme	0.0
R_SCACoAL_m_enzyme	0.0
R_cplx2_m_enzyme	2.335695095793911e-08
R_FumHA_m_enzyme	0.0
R_MalDH1_m_enzyme	1.7137386147481034e-06
R_cplx1_m_enzyme	5.870507129402368e-06
R_cplx3_m_enzyme	5.902242198873186e-06
R_cplx4_m_enzyme	2.951121099436593e-06
R_cplx5_m_enzyme	1.4723870427712147e-05
R_RBO_h_enzyme	0
