Process	Machinery Concentration
P_Replication_wtoMM_h	0.0
P_Chaperone_mitochondrion	5.314350067011779e-08
P_RNAdeg_c	0.0
P_Transcription_wtoMM_m	0.0
P_Translation_c	1.2492534357858397e-06
P_Proteasome_c	0.0
P_Transcription_RNApol1_n	2.8695413220017637e-10
P_TOM	1.289969762362691e-07
P_Chaperone6010_plastid	3.6988553916153713e-07
P_Chaperone70_cytoplasm	4.737179328703531e-08
P_ClpCP_protease_h	0.0
P_TIM22cx	1.0468212568627543e-07
P_Transcription_wtoMM_h	0.0
P_Replication_wtoMM_m	0.0
P_SAMTIMcx	6.257095272369741e-09
P_npc_rna	3.831256826718648e-11
P_Chaperone7090_plastid	3.610711721576202e-07
P_TIM17_23_MOTOR	1.69569286687508e-08
P_npc_protein	7.35029458887593e-09
P_TIC_TOC2	3.896586248428577e-07
P_Replication_n	1.0815464125739201e-10
P_TIC_TOC1	1.5996051610466786e-07
P_ClpXP_protease_m	0.0
P_Transcription_RNApol2_n	2.4325440169642213e-11
P_oxa1	3.614094157604386e-08
P_RubiscoFolding	2.404295534839485e-08
P_TIM17_23_SORT	1.0468212568627537e-07
P_Transcription_RNApol3_n	2.480877779091008e-11
P_Translation_h	4.931807188820494e-07
P_ChaperoneCCT_cytoplasm	3.8700196974807337e-08
P_Translation_m	4.824876266848933e-08
P_HSP101_c	0.0
