Metabolite	Concentration	Type	Unit	Comment
M_cl	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cobalt2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fru	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2o	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_k	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mg2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mobd	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_na1	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nh4	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_o2	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pi	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_so4	10.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_spmd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_12ppd__S	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_15dap	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_1btol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_26dap__M	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_2ddglcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_2hba	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_2obut	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_2pg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_34dhbz	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hbz	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hcinnm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hpppn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3pg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4abut	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4flrbz	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4flthr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4hbt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4hbz	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_4hphac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_6chq	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acgam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acmana	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acnam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acon	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ade	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_adip	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_adn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ala__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_alltn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_anth	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_aobzac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arab__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_arg__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ascb__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asn__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_aso3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_asp__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_bhb	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_bp23d	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_butn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_bz	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_bzal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_c160	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_c181	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_catechol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cbl1	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ccmuc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_choline	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cit	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_co2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cresol	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_crn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_csn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
